run	flip	direction
1	132	Right
1	133	Right
1	134	Right
1	135	Right
1	136	Right
1	137	Right
1	138	Right
1	260	Left
1	261	Left
1	262	Left
1	263	Left
1	264	Left
1	265	Left
1	266	Left
1	267	Left
1	268	Left
1	677	Down
1	678	Down
1	679	Down
1	680	Down
1	681	Down
1	682	Down
1	683	Down
1	684	Down
1	685	Down
1	686	Down
1	687	Down
1	688	Down
1	879	Right
1	880	Right
1	881	Right
1	882	Right
1	883	Right
1	884	Right
1	885	Right
1	886	Right
1	887	Right
1	1201	CatchRight
1	1500	CatchEnd
1	1635	Down
1	1636	Down
1	1637	Down
1	1638	Down
1	1639	Down
1	1640	Down
1	1641	Down
1	1642	Down
1	1643	Down
1	1962	Left
1	1963	Left
1	1964	Left
1	1965	Left
1	1966	Left
1	1967	Left
1	1968	Left
1	2415	Right
1	2416	Right
1	2417	Right
1	2418	Right
1	2419	Right
1	2420	Right
1	2421	Right
1	2528	Down
1	2529	Down
1	2530	Down
1	2531	Down
1	2532	Down
1	2533	Down
1	2534	Down
1	2535	Down
1	2536	Down
1	2537	Down
1	2538	Down
1	2803	Left
1	2804	Left
1	2805	Left
1	2806	Left
1	2807	Left
1	2808	Left
1	2809	Left
1	2810	Left
1	3266	Right
1	3267	Right
1	3268	Right
1	3269	Right
1	3270	Right
1	3271	Right
1	3272	Right
1	3273	Right
1	3474	Down
1	3475	Down
1	3476	Down
1	3477	Down
1	3478	Down
1	3479	Down
1	3480	Down
1	3481	Down
1	3482	Down
1	3483	Down
1	4275	Left
1	4276	Left
1	4277	Left
1	4278	Left
1	4279	Left
1	4280	Left
1	4281	Left
1	4413	Right
1	4414	Right
1	4415	Right
1	4416	Right
1	4417	Right
1	4418	Right
1	4419	Right
1	4549	Left
1	4550	Left
1	4551	Left
1	4552	Left
1	4553	Left
1	4554	Left
1	4555	Left
1	4556	Left
1	4557	Left
1	5308	Right
1	5309	Right
1	5310	Right
1	5311	Right
1	5312	Right
1	5313	Right
1	5314	Right
1	5386	Down
1	5387	Down
1	5388	Down
1	5389	Down
1	5390	Down
1	5391	Down
1	5392	Down
1	5393	Down
1	5394	Down
1	5701	Left
1	5702	Left
1	5703	Left
1	5704	Left
1	5705	Left
1	5706	Left
1	5707	Left
1	5708	Left
1	5809	Right
1	5810	Right
1	5811	Right
1	5812	Right
1	5813	Right
1	5814	Right
1	5815	Right
1	6019	Left
1	6020	Left
1	6021	Left
1	6022	Left
