run	flip	direction
1	119	Right
1	120	Right
1	121	Right
1	122	Right
1	123	Right
1	124	Right
1	405	Left
1	406	Left
1	407	Left
1	408	Left
1	409	Left
1	923	Right
1	924	Right
1	925	Right
1	926	Right
1	927	Right
1	928	Right
1	929	Right
1	1823	Left
1	1824	Left
1	1825	Left
1	1826	Left
1	1827	Left
1	1828	Left
1	1829	Left
1	2962	Right
1	2963	Right
1	2964	Right
1	2965	Right
1	2966	Right
1	2967	Right
1	3576	Down
1	3577	Down
1	3578	Down
1	3579	Down
1	3580	Down
1	3581	Down
1	3582	Down
1	3583	Down
1	3584	Down
1	4068	Left
1	4069	Left
1	4070	Left
1	4071	Left
1	4072	Left
1	4073	Left
1	4074	Left
1	4075	Left
1	4337	Down
1	4338	Down
1	4339	Down
1	4340	Down
1	4341	Down
1	4342	Down
1	4343	Down
1	4344	Down
1	5095	Right
1	5096	Right
1	5097	Right
1	5098	Right
1	5099	Right
1	5100	Right
1	5101	Right
1	6211	Left
1	6212	Left
1	6213	Left
1	6214	Left
1	6215	Left
1	6216	Left
1	7570	Right
1	7571	Right
1	7572	Right
1	7573	Right
1	7574	Right
1	7575	Right
1	7576	Right
1	8676	Left
1	8677	Left
1	8678	Left
1	8679	Left
1	8680	Left
1	8681	Left
1	8682	Left
1	8737	Down
1	8738	Down
1	8739	Down
1	8740	Down
1	8741	Down
1	8742	Down
1	8743	Down
1	8744	Down
1	8745	Down
1	9074	Left
1	9075	Left
1	9076	Left
1	9077	Left
1	9078	Left
1	9079	Left
1	9080	Left
1	9268	Down
1	9269	Down
1	9270	Down
1	9271	Down
1	9272	Down
1	9273	Down
1	9274	Down
1	9275	Down
1	9276	Down
1	9522	Left
1	9523	Left
1	9524	Left
1	9525	Left
1	9526	Left
1	9527	Left
1	9528	Left
1	9529	Left
1	9530	Left
1	9779	Right
1	9780	Right
1	9781	Right
1	9782	Right
1	9783	Right
1	9784	Right
1	9785	Right
1	9786	Right
1	9787	Right
1	9788	Right
1	9789	Right
1	9790	Right
1	9791	Right
1	9995	Down
1	9996	Down
1	9997	Down
1	9998	Down
1	9999	Down
1	10000	Down
1	10001	Down
1	10460	Left
1	10461	Left
1	10462	Left
1	10463	Left
1	10464	Left
1	10465	Left
1	10466	Left
1	10467	Left
1	10468	Left
1	10469	Left
1	10671	Down
1	10672	Down
1	10673	Down
1	10674	Down
1	10675	Down
1	10676	Down
1	10677	Down
1	10678	Down
1	11097	Right
1	11098	Right
1	11099	Right
1	11100	Right
1	11101	Right
1	11102	Right
1	12158	Left
1	12159	Left
1	12160	Left
1	12161	Left
1	12162	Left
1	12163	Left
1	12164	Left
1	12165	Left
1	12166	Left
1	12167	Left
2	60	Left
2	61	Left
2	62	Left
2	63	Left
2	64	Left
2	65	Left
2	202	Right
2	203	Right
2	204	Right
2	205	Right
2	206	Right
2	207	Right
2	428	Left
2	429	Left
2	430	Left
2	431	Left
2	432	Left
2	433	Left
2	434	Left
2	684	Right
2	685	Right
2	686	Right
2	687	Right
2	688	Right
2	689	Right
2	690	Right
2	691	Right
2	692	Right
2	693	Right
2	694	Right
2	909	Down
2	910	Down
2	911	Down
2	912	Down
2	913	Down
2	914	Down
2	1087	Left
2	1088	Left
2	1089	Left
2	1090	Left
2	1091	Left
2	1092	Left
2	1093	Left
2	1094	Left
2	1530	Down
2	1531	Down
2	1532	Down
2	1533	Down
2	1534	Down
2	1535	Down
2	1536	Down
2	1537	Down
2	1538	Down
2	1539	Down
2	1651	Left
2	1652	Left
2	1653	Left
2	1654	Left
2	1655	Left
2	1656	Left
2	1657	Left
2	1883	Right
2	1884	Right
2	1885	Right
2	1886	Right
2	1887	Right
2	1888	Right
2	2341	Left
2	2342	Left
2	2343	Left
2	2344	Left
2	2345	Left
2	2576	Right
2	2577	Right
2	2578	Right
2	2579	Right
2	2580	Right
2	2581	Right
2	2582	Right
2	2583	Right
2	2584	Right
2	2855	Left
2	2856	Left
2	2857	Left
2	2858	Left
2	2859	Left
2	2860	Left
2	3358	Right
2	3359	Right
2	3360	Right
2	3361	Right
2	3362	Right
2	3363	Right
2	3364	Right
2	3627	Left
2	3628	Left
2	3629	Left
2	3630	Left
2	3631	Left
2	3632	Left
2	3633	Left
2	3634	Left
2	3889	Right
2	3890	Right
2	3891	Right
2	3892	Right
2	3893	Right
2	3894	Right
2	3895	Right
2	3896	Right
2	3897	Right
2	3898	Right
2	3899	Right
2	3900	Right
2	4311	Left
2	4312	Left
2	4313	Left
2	4314	Left
2	4315	Left
2	4316	Left
2	4500	Right
2	4501	Right
2	4502	Right
2	4503	Right
2	4504	Right
2	4505	Right
2	4979	Left
2	4980	Left
2	4981	Left
2	4982	Left
2	4983	Left
2	4984	Left
2	5264	Right
2	5265	Right
2	5266	Right
2	5267	Right
2	5268	Right
2	5676	Left
2	5677	Left
2	5678	Left
2	5679	Left
2	6000	Down
2	6001	Down
2	6002	Down
2	6003	Down
2	6004	Down
2	6005	Down
2	6006	Down
2	6007	Down
2	6008	Down
2	6009	Down
2	6010	Down
2	6199	Right
2	6200	Right
2	6201	Right
2	6202	Right
2	6203	Right
2	6551	Left
2	6552	Left
2	6553	Left
2	6554	Left
2	6555	Left
2	7004	Down
2	7005	Down
2	7006	Down
2	7007	Down
2	7008	Down
2	7009	Down
2	7010	Down
2	7011	Down
2	7012	Down
2	7070	Left
2	7071	Left
2	7072	Left
2	7073	Left
2	7074	Left
2	7075	Left
2	7076	Left
2	7444	Right
2	7445	Right
2	7446	Right
2	7447	Right
2	7448	Right
2	7449	Right
2	7823	Left
2	7824	Left
2	7825	Left
2	7826	Left
2	7827	Left
2	7828	Left
2	8472	Right
2	8473	Right
2	8474	Right
2	8475	Right
2	8476	Right
2	9072	Left
2	9073	Left
2	9074	Left
2	9075	Left
2	9076	Left
2	9077	Left
2	9330	Right
2	9331	Right
2	9332	Right
2	9333	Right
2	9334	Right
2	9335	Right
2	9524	Left
2	9525	Left
2	9526	Left
2	9527	Left
2	9528	Left
2	9529	Left
2	9802	Right
2	9803	Right
2	9804	Right
2	9805	Right
2	9806	Right
2	9988	Left
2	9989	Left
2	9990	Left
2	9991	Left
2	9992	Left
2	9993	Left
2	10257	Right
2	10258	Right
2	10259	Right
2	10260	Right
2	10261	Right
2	10262	Right
2	10486	Left
2	10487	Left
2	10488	Left
2	10489	Left
2	10490	Left
2	10841	Right
2	10842	Right
2	10843	Right
2	10844	Right
2	10845	Right
2	10846	Right
2	10954	Left
2	10955	Left
2	10956	Left
2	10957	Left
2	10958	Left
2	11347	Down
2	11348	Down
2	11349	Down
2	11350	Down
2	11351	Down
2	11352	Down
2	11353	Down
2	11354	Down
2	11478	Left
2	11479	Left
2	11480	Left
2	11481	Left
2	11482	Left
2	11483	Left
2	11772	Right
2	11773	Right
2	11774	Right
2	11775	Right
2	11776	Right
2	11777	Right
2	12067	Left
2	12068	Left
2	12069	Left
2	12070	Left
2	12071	Left
3	18	Escape
