run	flip	direction
1	52	Right
1	53	Right
1	54	Right
1	55	Right
1	56	Right
1	301	Left
1	302	Left
1	303	Left
1	304	Left
1	305	Left
1	306	Left
1	307	Left
1	836	Right
1	837	Right
1	838	Right
1	839	Right
1	840	Right
1	1711	Left
1	1712	Left
1	1713	Left
1	1714	Left
1	1715	Left
1	1716	Left
1	3096	Right
1	3097	Right
1	3098	Right
1	3099	Right
1	3100	Right
1	3101	Right
1	3806	Left
1	3807	Left
1	3808	Left
1	3809	Left
1	3810	Left
1	3811	Left
1	3812	Left
1	3813	Left
1	4043	Down
1	4044	Down
1	4045	Down
1	4046	Down
1	4319	Right
1	4320	Right
1	4321	Right
1	4322	Right
1	4323	Right
1	4324	Right
1	4325	Right
1	4326	Right
1	4470	Down
1	4471	Down
1	4472	Down
1	4473	Down
1	4474	Down
1	4475	Down
1	4476	Down
1	4477	Down
1	4478	Down
1	4821	Left
1	4822	Left
1	4823	Left
1	4824	Left
1	4825	Left
1	4826	Left
1	4827	Left
1	4828	Left
1	4829	Left
1	4830	Left
1	6711	Right
1	6712	Right
1	6713	Right
1	6714	Right
1	6715	Right
1	6716	Right
1	6717	Right
1	6718	Right
1	6719	Right
1	6720	Right
1	7061	Down
1	7062	Down
1	7063	Down
1	7064	Down
1	7065	Down
1	7066	Down
1	7067	Down
1	7068	Down
1	7069	Down
1	7070	Down
1	8164	Right
1	8165	Right
1	8166	Right
1	8167	Right
1	8168	Right
1	8169	Right
1	8170	Right
1	8328	Left
1	8329	Left
1	8330	Left
1	8331	Left
1	8332	Left
1	8333	Left
1	8334	Left
1	8335	Left
1	8336	Left
1	8420	Down
1	8421	Down
1	8422	Down
1	8423	Down
1	8424	Down
1	8425	Down
1	8426	Down
1	8427	Down
1	8740	Left
1	8741	Left
1	8742	Left
1	8743	Left
1	8744	Left
1	8745	Left
1	8746	Left
1	8901	Down
1	8902	Down
1	8903	Down
1	8904	Down
1	8905	Down
1	8906	Down
1	8907	Down
1	8908	Down
1	8909	Down
1	8910	Down
1	10564	Right
1	10565	Right
1	10566	Right
1	10567	Right
1	10568	Right
1	10569	Right
1	10570	Right
1	10571	Right
1	10782	Left
1	10783	Left
1	10784	Left
1	10785	Left
1	10786	Left
1	10787	Left
1	10788	Left
1	10789	Left
1	10860	Down
1	10861	Down
1	10862	Down
1	10863	Down
1	10864	Down
1	10865	Down
1	11294	Right
1	11295	Right
1	11296	Right
1	11297	Right
1	11298	Right
1	11299	Right
1	11300	Right
1	11301	Right
1	11652	Down
1	11653	Down
1	11654	Down
1	11655	Down
1	11656	Down
1	11657	Down
1	11658	Down
1	11659	Down
1	11660	Down
1	11661	Down
1	12377	Left
1	12378	Left
1	12379	Left
1	12380	Left
1	12381	Left
1	12382	Left
1	12383	Left
1	12384	Left
1	12385	Left
1	12421	Right
1	12422	Right
1	12423	Right
1	12424	Right
1	12425	Right
1	12426	Right
1	12427	Right
1	12428	Right
1	12429	Right
1	12430	Right
1	12431	Right
1	12535	Left
1	12536	Left
1	12537	Left
1	12538	Left
1	12539	Left
1	12540	Left
1	12541	Left
1	12542	Left
1	12543	Left
1	12544	Left
2	37	Left
2	38	Left
2	39	Left
2	40	Left
2	41	Left
2	42	Left
2	43	Left
2	44	Left
2	45	Left
2	46	Left
2	47	Left
2	357	Right
2	358	Right
2	359	Right
2	360	Right
2	361	Right
2	362	Right
2	363	Right
2	364	Right
2	365	Right
2	517	Left
2	518	Left
2	519	Left
2	520	Left
2	521	Left
2	522	Left
2	523	Left
2	524	Left
2	525	Left
2	629	Down
2	630	Down
2	631	Down
2	632	Down
2	633	Down
2	634	Down
2	635	Down
2	636	Down
2	637	Down
2	638	Down
2	639	Down
2	994	Left
2	995	Left
2	996	Left
2	997	Left
2	998	Left
2	999	Left
2	1000	Left
2	1001	Left
2	1002	Left
2	1003	Left
2	1683	Right
2	1684	Right
2	1685	Right
2	1686	Right
2	1687	Right
2	1688	Right
2	1689	Right
2	1690	Right
2	1691	Right
2	1692	Right
2	1693	Right
2	1694	Right
2	1695	Right
2	1870	Left
2	1871	Left
2	1872	Left
2	1873	Left
2	1874	Left
2	1875	Left
2	1876	Left
2	1877	Left
2	1878	Left
2	1879	Left
2	2636	Right
2	2637	Right
2	2638	Right
2	2639	Right
2	2640	Right
2	2641	Right
2	2642	Right
2	2643	Right
2	2644	Right
2	2645	Right
2	2827	Left
2	2828	Left
2	2829	Left
2	2830	Left
2	2831	Left
2	2832	Left
2	2833	Left
2	2834	Left
2	2835	Left
2	2836	Left
2	3375	Right
2	3376	Right
2	3377	Right
2	3378	Right
2	3379	Right
2	3380	Right
2	3381	Right
2	3382	Right
2	3741	Left
2	3742	Left
2	3743	Left
2	3744	Left
2	3745	Left
2	3746	Left
2	3747	Left
2	3748	Left
2	3749	Left
2	3750	Left
2	3751	Left
2	3817	Down
2	3818	Down
2	3819	Down
2	3820	Down
2	3821	Down
2	3822	Down
2	3823	Down
2	3824	Down
2	3825	Down
2	3826	Down
2	3901	Left
2	3902	Left
2	3903	Left
2	3904	Left
2	3905	Left
2	3906	Left
2	3907	Left
2	3908	Left
2	4467	Right
2	4468	Right
2	4469	Right
2	4470	Right
2	4471	Right
2	4472	Right
2	4959	Down
2	4960	Down
2	4961	Down
2	4962	Down
2	4963	Down
2	4964	Down
2	4965	Down
2	4966	Down
2	4967	Down
2	4968	Down
2	5014	Left
2	5015	Left
2	5016	Left
2	5017	Left
2	5018	Left
2	5019	Left
2	5020	Left
2	5021	Left
2	5022	Left
2	5023	Left
2	5024	Left
2	5025	Left
2	5060	Right
2	5061	Right
2	5062	Right
2	5063	Right
2	5064	Right
2	5065	Right
2	5066	Right
2	5067	Right
2	5068	Right
2	5069	Right
2	5070	Right
2	5313	Left
2	5314	Left
2	5315	Left
2	5316	Left
2	5317	Left
2	5318	Left
2	5319	Left
2	5320	Left
2	5321	Left
2	5322	Left
2	5547	Down
2	5548	Down
2	5549	Down
2	5550	Down
2	5551	Down
2	5552	Down
2	5553	Down
2	5554	Down
2	5749	Right
2	5750	Right
2	5751	Right
2	5752	Right
2	5753	Right
2	5754	Right
2	5755	Right
2	5756	Right
2	5757	Right
2	6023	Down
2	6024	Down
2	6025	Down
2	6026	Down
2	6027	Down
2	6028	Down
2	6029	Down
2	6030	Down
2	6140	Left
2	6141	Left
2	6142	Left
2	6143	Left
2	6144	Left
2	6145	Left
2	6146	Left
2	6147	Left
2	6767	Right
2	6768	Right
2	6769	Right
2	6770	Right
2	6771	Right
2	6772	Right
2	6773	Right
2	6774	Right
2	6775	Right
2	6877	Left
2	6878	Left
2	6879	Left
2	6880	Left
2	6881	Left
2	6882	Left
2	6883	Left
2	6884	Left
2	6885	Left
2	6886	Left
2	7064	Right
2	7065	Right
2	7066	Right
2	7067	Right
2	7068	Right
2	7069	Right
2	7070	Right
2	7071	Right
2	7072	Right
2	7073	Right
2	7247	Left
2	7248	Left
2	7249	Left
2	7250	Left
2	7251	Left
2	7252	Left
2	7253	Left
2	7254	Left
2	7255	Left
2	7256	Left
2	7257	Left
2	7823	Right
2	7824	Right
2	7825	Right
2	7826	Right
2	7827	Right
2	7828	Right
2	7829	Right
2	7830	Right
2	7831	Right
2	8101	Left
2	8102	Left
2	8103	Left
2	8104	Left
2	8105	Left
2	8106	Left
2	8107	Left
2	8108	Left
2	8109	Left
2	8466	Right
2	8467	Right
2	8468	Right
2	8469	Right
2	8470	Right
2	8471	Right
2	8472	Right
2	8473	Right
2	8775	Left
2	8776	Left
2	8777	Left
2	8778	Left
2	8779	Left
2	8780	Left
2	8781	Left
2	8782	Left
2	8783	Left
2	9277	Right
2	9278	Right
2	9279	Right
2	9280	Right
2	9281	Right
2	9282	Right
2	9283	Right
2	9284	Right
2	9439	Down
2	9440	Down
2	9441	Down
2	9442	Down
2	9443	Down
2	9444	Down
2	9445	Down
2	9446	Down
2	9447	Down
2	10096	Right
2	10097	Right
2	10098	Right
2	10099	Right
2	10100	Right
2	10101	Right
2	10102	Right
2	10103	Right
2	10104	Right
2	10523	Down
2	10524	Down
2	10525	Down
2	10526	Down
2	10527	Down
2	10528	Down
2	10529	Down
2	10530	Down
2	10531	Down
2	10532	Down
2	11201	Down
2	11202	Down
2	11203	Down
2	11204	Down
2	11205	Down
2	11206	Down
2	11207	Down
2	11208	Down
2	11209	Down
2	11210	Down
2	12090	Right
2	12091	Right
2	12092	Right
2	12093	Right
2	12094	Right
2	12095	Right
2	12096	Right
2	12097	Right
2	12098	Right
2	12099	Right
2	12100	Right
2	12101	Right
2	12102	Right
2	12103	Right
2	12174	Left
2	12175	Left
2	12176	Left
2	12177	Left
2	12178	Left
2	12179	Left
2	12180	Left
2	12181	Left
2	12182	Left
2	12183	Left
2	12184	Left
3	151	Down
3	152	Down
3	153	Down
3	154	Down
3	155	Down
3	156	Down
3	157	Down
3	158	Down
3	159	Down
3	160	Down
3	450	Right
3	451	Right
3	452	Right
3	453	Right
3	454	Right
3	455	Right
3	456	Right
3	611	Left
3	612	Left
3	613	Left
3	614	Left
3	615	Left
3	616	Left
3	617	Left
3	618	Left
3	723	Down
3	724	Down
3	725	Down
3	726	Down
3	727	Down
3	728	Down
3	729	Down
3	730	Down
3	940	Left
3	941	Left
3	942	Left
3	943	Left
3	944	Left
3	945	Left
3	946	Left
3	947	Left
3	948	Left
3	1147	Down
3	1148	Down
3	1149	Down
3	1150	Down
3	1151	Down
3	1152	Down
3	1153	Down
3	1154	Down
3	1534	Left
3	1535	Left
3	1536	Left
3	1537	Left
3	1538	Left
3	1539	Left
3	1540	Left
3	1541	Left
3	1542	Left
3	2165	Down
3	2166	Down
3	2167	Down
3	2168	Down
3	2169	Down
3	2170	Down
3	2171	Down
3	2172	Down
3	2173	Down
3	3224	Down
3	3225	Down
3	3226	Down
3	3227	Down
3	3228	Down
3	3229	Down
3	3282	Left
3	3283	Left
3	3284	Left
3	3285	Left
3	3286	Left
3	3287	Left
3	3288	Left
3	3289	Left
3	3781	Right
3	3782	Right
3	3783	Right
3	3784	Right
3	3785	Right
3	3786	Right
3	3787	Right
3	3941	Left
3	3942	Left
3	3945	Down
3	3946	Down
3	3947	Down
